kind,category,room,code,wall_type,visual,name,material,renov_id,construction_system,construction_system_name,wall_role,w,d,h,cx,cy,cz,layer,sem_note,entity_id
component,围护,主卧,T6,玻璃,blue_glass,T6,,,,,,2250,100,2900,10504,8027,1450,Layer0,待现场核对,441308
component,围护,书房,T15,玻璃,blue_glass,T15,,,,,,2676,100,2912,9073,-21,1456,Layer0,待现场核对,693952
component,围护,厨房,R05,玻璃,blue_glass,R05-B - middle glass band from R05 - M23 - glass_or_window_sill - source 19,glass,,,,,1276,200,1500,3583,869,1750,Layer0,窗带玻璃（非承重）,1193216
component,围护,客卫,R06B,玻璃,blue_glass,R06B-B - middle glass band from R06B - M24B - glass_or_window_sill - source 29,glass,,,,,739,200,1500,6189,871,1750,Layer0,窗带玻璃（非承重）,1193202
component,围护,客厅,T1,玻璃,blue_glass,T1,,,,,,4760,100,2900,3453,9027,1450,Layer0,待现场核对,269492
component,围护,客厅,T2,玻璃,blue_glass,T2,,,,,,1214,100,2900,366,9027,1450,Layer0,待现场核对,269903
component,围护,未分区,R10C,玻璃,blue_glass,R10C-B - middle glass band from R10C - M27C - glass_or_window_sill - source 47|48,glass,,,,,681,200,1500,11146,877,1750,Layer0,窗带玻璃（非承重）,1193205
component,围护,次卧,T3,玻璃,blue_glass,T3,,,,,,1927,100,2900,6991,9025,1450,Layer0,待现场核对,331001
component,墙体,主卧,R34B,承重墙,black,R34B - M54B - structure_candidate - source 77,structure,,,,,200,3534,2900,12177,5560,1450,A2-RESULT-STRUCTURE-CANDIDATE,粗黑线=承重/剪力墙，禁止擅自拆除,1193207
component,墙体,主卧,R34C,普通墙,gray_white,R34C - M54C - partition_candidate - source 75|76,partition,,,,,200,559,2900,12177,7607,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193191
component,墙体,主卧,R45,普通墙,gray_white,R45 - M05 - partition_candidate - source 72,partition,,,,,373,200,2900,9192,7993,1448,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193122
component,墙体,主卧,R46,普通墙,gray_white,R46 - M07 - partition_candidate - source 74,partition,,,,,648,200,2900,11953,7986,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193125
component,墙体,主卧,T10,普通墙,gray_white,T10,,,,,,1737,118,2921,9446,3800,1440,Layer0,待现场核对,459722
component,墙体,主卧,T7,普通墙,gray_white,T7,,,,,,817,117,2878,11668,3852,1465,Layer0,待现场核对,441959
component,墙体,书房,R03,普通墙,gray_white,R03 - M53 - partition_candidate - source 46,partition,,,,,100,742,2900,10361,400,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193185
component,墙体,书房,R10B,承重墙,black,R10B - M27B - structure_candidate - source 39,structure,,,,,495,200,2900,10559,871,1450,A2-RESULT-STRUCTURE-CANDIDATE,粗黑线=承重/剪力墙，禁止擅自拆除,1193143
component,墙体,书房,R17,承重墙,black,R17 - M52 - structure_candidate - source 40,structure,,,,,200,1830,2900,10411,1886,1450,A2-RESULT-STRUCTURE-CANDIDATE,粗黑线=承重/剪力墙，禁止擅自拆除,1193182
component,墙体,书房,T12,承重墙,black,T12,,,,,,203,1844,2900,7644,1886,1450,Layer0,待现场核对,547211
component,墙体,书房,T14,普通墙,gray_white,T14,,,,,,105,849,2912,7683,354,1444,Layer0,待现场核对,693863
component,墙体,书房,T9,普通墙,gray_white,T9,,,,,,197,1058,2921,10413,3330,1443,Layer0,待现场核对,458870
component,墙体,厨房,R05,普通墙,gray_white,R05-A - lower ordinary wall band from R05 - M23 - glass_or_window_sill - source 19,partition,,,,,1276,200,1000,3583,869,500,Layer0,灰/白线=填充隔墙，结构确认后可改,1193217
component,墙体,厨房,R05,普通墙,gray_white,R05-C - upper ordinary wall band from R05 - M23 - glass_or_window_sill - source 19,partition,,,,,1276,200,400,3583,869,2700,Layer0,灰/白线=填充隔墙，结构确认后可改,1193200
component,墙体,客卫,R02,普通墙,gray_white,R02 - M40 - partition_candidate - source 44,partition,,,,,100,758,2900,5551,385,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193167
component,墙体,客卫,R06A,普通墙,gray_white,R06A - M24A - partition_candidate - source 20|21,partition,,,,,1602,200,2900,5021,869,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193134
component,墙体,客卫,R06B,普通墙,gray_white,R06B-A - lower ordinary wall band from R06B - M24B - glass_or_window_sill - source 29,partition,,,,,739,200,1000,6189,871,500,Layer0,灰/白线=填充隔墙，结构确认后可改,1193201
component,墙体,客卫,R06B,普通墙,gray_white,R06B-C - upper ordinary wall band from R06B - M24B - glass_or_window_sill - source 29,partition,,,,,739,200,400,6191,864,2700,Layer0,灰/白线=填充隔墙，结构确认后可改,1193203
component,墙体,客卫,R07A,普通墙,gray_white,R07A - M25A - partition_candidate - source 30,partition,,,,,622,200,2900,6872,864,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193137
component,墙体,客卫,R07B,承重墙,black,R07B - M25B - structure_candidate - source 31,structure,,,,,563,200,2900,7464,864,1450,A2-RESULT-STRUCTURE-CANDIDATE,粗黑线=承重/剪力墙，禁止擅自拆除,1193140
component,墙体,客卫,R16,普通墙,gray_white,R16 - M39 - partition_or_sill - source 23,partition,,,,,100,1730,2900,4864,1830,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193164
component,墙体,客卫,R21,普通墙,gray_white,R21 - M44 - partition_or_sill - source 34,partition,,,,,100,125,2900,7485,2744,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193173
component,墙体,客卫,T11,普通墙,gray_white,T11,,,,,,103,1062,2508,7594,3339,1254,Layer0,待现场核对,546944
component,墙体,客卫,T16,普通墙,gray_white,T16,,,,,,1973,117,2878,5800,2754,1465,Layer0,待现场核对,819306
component,墙体,客厅,R39A,承重墙,black,R39A - M08A - structure_candidate - source 10,structure,,,,,765,200,2900,833,7227,1450,A2-RESULT-STRUCTURE-CANDIDATE,粗黑线=承重/剪力墙，禁止擅自拆除,1193210
component,墙体,客厅,R43,普通墙,gray_white,R43 - M31 - partition_candidate - source 5,partition,,,,,200,718,2900,348,7696,1450,A2-RESULT-PARTITION-CANDIDATE,灰/白线=填充隔墙，结构确认后可改,1193152
